Step,AdamW_weight_decay_0.0001 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.0001 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.0001 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.0005 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.0005 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.0005 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.001 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.001 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.001 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.005 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.005 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.005 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.01 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.01 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.01 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.05 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.05 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.05 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.1 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.1 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.1 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.5 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.5 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.5 - nuc_by_fro_norm_value/avg__MAX
15,2.974032163620000,2.974032163620000,2.974032163620000,2.9371542930603000,2.9371542930603000,2.9371542930603000,2.462088108062740,2.462088108062740,2.462088108062740,2.7509765625,2.7509765625,2.7509765625,2.652553081512450,2.652553081512450,2.652553081512450,2.9013373851776100,2.9013373851776100,2.9013373851776100,2.6561667919158900,2.6561667919158900,2.6561667919158900,1.546134352684020,1.546134352684020,1.546134352684020
16,2.9770755767822300,2.9770755767822300,2.9770755767822300,2.9218690395355200,2.9218690395355200,2.9218690395355200,2.492718458175660,2.492718458175660,2.492718458175660,2.7514402866363500,2.7514402866363500,2.7514402866363500,2.6689612865448,2.6689612865448,2.6689612865448,2.9234519004821800,2.9234519004821800,2.9234519004821800,2.668121576309200,2.668121576309200,2.668121576309200,1.5018242597580000,1.5018242597580000,1.5018242597580000
17,2.9975669384002700,2.9975669384002700,2.9975669384002700,2.907122850418090,2.907122850418090,2.907122850418090,2.5009496212005600,2.5009496212005600,2.5009496212005600,2.7668843269348100,2.7668843269348100,2.7668843269348100,2.682570457458500,2.682570457458500,2.682570457458500,2.9175004959106400,2.9175004959106400,2.9175004959106400,2.655933380126950,2.655933380126950,2.655933380126950,1.4781643152236900,1.4781643152236900,1.4781643152236900
18,2.9693729877471900,2.9693729877471900,2.9693729877471900,2.8904407024383500,2.8904407024383500,2.8904407024383500,2.45807147026062,2.45807147026062,2.45807147026062,2.7520670890808100,2.7520670890808100,2.7520670890808100,2.707376718521120,2.707376718521120,2.707376718521120,2.9454352855682400,2.9454352855682400,2.9454352855682400,2.6535708904266400,2.6535708904266400,2.6535708904266400,1.4622637033462500,1.4622637033462500,1.4622637033462500
19,2.9713823795318600,2.9713823795318600,2.9713823795318600,2.899005889892580,2.899005889892580,2.899005889892580,2.4665446281433100,2.4665446281433100,2.4665446281433100,2.75600528717041,2.75600528717041,2.75600528717041,2.7593579292297400,2.7593579292297400,2.7593579292297400,2.963590383529660,2.963590383529660,2.963590383529660,2.6619067192077600,2.6619067192077600,2.6619067192077600,1.4435125589370700,1.4435125589370700,1.4435125589370700
20,2.9935142993927,2.9935142993927,2.9935142993927,2.9003307819366500,2.9003307819366500,2.9003307819366500,2.496969223022460,2.496969223022460,2.496969223022460,2.785839080810550,2.785839080810550,2.785839080810550,2.773926019668580,2.773926019668580,2.773926019668580,2.9598395824432400,2.9598395824432400,2.9598395824432400,2.654726266860960,2.654726266860960,2.654726266860960,1.423877239227300,1.423877239227300,1.423877239227300
21,3.0416924953460700,3.0416924953460700,3.0416924953460700,2.9091689586639400,2.9091689586639400,2.9091689586639400,2.5144100189209000,2.5144100189209000,2.5144100189209000,2.803274393081670,2.803274393081670,2.803274393081670,2.77465558052063,2.77465558052063,2.77465558052063,2.9507033824920700,2.9507033824920700,2.9507033824920700,2.663879156112670,2.663879156112670,2.663879156112670,1.4102692604064900,1.4102692604064900,1.4102692604064900
22,3.0286595821380600,3.0286595821380600,3.0286595821380600,2.9146676063537600,2.9146676063537600,2.9146676063537600,2.516493797302250,2.516493797302250,2.516493797302250,2.8326425552368200,2.8326425552368200,2.8326425552368200,2.803941249847410,2.803941249847410,2.803941249847410,3.00846266746521,3.00846266746521,3.00846266746521,2.6307945251464800,2.6307945251464800,2.6307945251464800,1.4038690328598000,1.4038690328598000,1.4038690328598000
23,3.0614240169525100,3.0614240169525100,3.0614240169525100,2.926595449447630,2.926595449447630,2.926595449447630,2.5192604064941400,2.5192604064941400,2.5192604064941400,2.8394713401794400,2.8394713401794400,2.8394713401794400,2.8256897926330600,2.8256897926330600,2.8256897926330600,3.013855218887330,3.013855218887330,3.013855218887330,2.634045124053960,2.634045124053960,2.634045124053960,1.3894490003585800,1.3894490003585800,1.3894490003585800
24,3.039881944656370,3.039881944656370,3.039881944656370,2.9509408473968500,2.9509408473968500,2.9509408473968500,2.5255138874054000,2.5255138874054000,2.5255138874054000,2.8806827068328900,2.8806827068328900,2.8806827068328900,2.8601813316345200,2.8601813316345200,2.8601813316345200,3.005183219909670,3.005183219909670,3.005183219909670,2.653688907623290,2.653688907623290,2.653688907623290,1.3776803016662600,1.3776803016662600,1.3776803016662600
