"Step","u^2n-v^2n with reg=0.001, n = 1, x_init_value = normal - reconstruction MSE","u^2n-v^2n with reg=0.001, n = 1, x_init_value = normal - reconstruction MSE__MIN","u^2n-v^2n with reg=0.001, n = 1, x_init_value = normal - reconstruction MSE__MAX","u^2n-v^2n with reg=0.001, n = 2, x_init_value = normal - reconstruction MSE","u^2n-v^2n with reg=0.001, n = 2, x_init_value = normal - reconstruction MSE__MIN","u^2n-v^2n with reg=0.001, n = 2, x_init_value = normal - reconstruction MSE__MAX","u^2n-v^2n with reg=0.001, n = 3, x_init_value = normal - reconstruction MSE","u^2n-v^2n with reg=0.001, n = 3, x_init_value = normal - reconstruction MSE__MIN","u^2n-v^2n with reg=0.001, n = 3, x_init_value = normal - reconstruction MSE__MAX"
"42","0.015032567465841955","0.015032567465841955","0.015032567465841955","0.011908976530261784","0.011908976530261784","0.011908976530261784","0.008944725524746537","0.008944725524746537","0.008944725524746537"
"43","0.015060033827336231","0.015060033827336231","0.015060033827336231","0.011783573717670939","0.011783573717670939","0.011783573717670939","0.008887587613981689","0.008887587613981689","0.008887587613981689"
"44","0.014959662601238873","0.014959662601238873","0.014959662601238873","0.011667260737426865","0.011667260737426865","0.011667260737426865","0.008788005591202842","0.008788005591202842","0.008788005591202842"
"45","0.014971902390891047","0.014971902390891047","0.014971902390891047","0.011551952070389861","0.011551952070389861","0.011551952070389861","0.00872948701251089","0.00872948701251089","0.00872948701251089"
"46","0.014913539452417694","0.014913539452417694","0.014913539452417694","0.011426370393825394","0.011426370393825394","0.011426370393825394","0.00859222857260762","0.00859222857260762","0.00859222857260762"
"47","0.014951576146221168","0.014951576146221168","0.014951576146221168","0.011286876229736429","0.011286876229736429","0.011286876229736429","0.00851750911500843","0.00851750911500843","0.00851750911500843"
"48","0.014858039463073538","0.014858039463073538","0.014858039463073538","0.01116910160250022","0.01116910160250022","0.01116910160250022","0.008353484058714644","0.008353484058714644","0.008353484058714644"
"49","0.014837686084177685","0.014837686084177685","0.014837686084177685","0.01107161901556852","0.01107161901556852","0.01107161901556852","0.008304434832570493","0.008304434832570493","0.008304434832570493"
"50","0.014830397975630426","0.014830397975630426","0.014830397975630426","0.011005369888321742","0.011005369888321742","0.011005369888321742","0.008175317012200561","0.008175317012200561","0.008175317012200561"
"51","0.014769728072693084","0.014769728072693084","0.014769728072693084","0.010924890105341662","0.010924890105341662","0.010924890105341662","0.008144040913542122","0.008144040913542122","0.008144040913542122"
"52","0.014673387864257098","0.014673387864257098","0.014673387864257098","0.010821054994918226","0.010821054994918226","0.010821054994918226","0.008026199076739902","0.008026199076739902","0.008026199076739902"
"53","0.014632463493035033","0.014632463493035033","0.014632463493035033","0.010716100194681711","0.010716100194681711","0.010716100194681711","0.007991440477652923","0.007991440477652923","0.007991440477652923"
"54","0.014627803400959063","0.014627803400959063","0.014627803400959063","0.010656676809464248","0.010656676809464248","0.010656676809464248","0.007908999516061683","0.007908999516061683","0.007908999516061683"
"55","0.01458905365300015","0.01458905365300015","0.01458905365300015","0.0105690120750873","0.0105690120750873","0.0105690120750873","0.007878788436719098","0.007878788436719098","0.007878788436719098"
"56","0.014560041731942891","0.014560041731942891","0.014560041731942891","0.010506050679406133","0.010506050679406133","0.010506050679406133","0.007807017447813961","0.007807017447813961","0.007807017447813961"
"57","0.014515377872988927","0.014515377872988927","0.014515377872988927","0.010432304582161142","0.010432304582161142","0.010432304582161142","0.0077849249908922835","0.0077849249908922835","0.0077849249908922835"
"58","0.01448907883222176","0.01448907883222176","0.01448907883222176","0.010366803341717093","0.010366803341717093","0.010366803341717093","0.007736103869596572","0.007736103869596572","0.007736103869596572"
"59","0.014472612020288904","0.014472612020288904","0.014472612020288904","0.010324230140578414","0.010324230140578414","0.010324230140578414","0.007735577913702236","0.007735577913702236","0.007735577913702236"
"60","0.01442838810552039","0.01442838810552039","0.01442838810552039","0.010255896150003052","0.010255896150003052","0.010255896150003052","0.007673041493727808","0.007673041493727808","0.007673041493727808"
"61","0.014417676525419103","0.014417676525419103","0.014417676525419103","0.010194877314167964","0.010194877314167964","0.010194877314167964","0.007660754841323095","0.007660754841323095","0.007660754841323095"
"62","0.014389818247249775","0.014389818247249775","0.014389818247249775","0.01013957827194341","0.01013957827194341","0.01013957827194341","0.007588008851886851","0.007588008851886851","0.007588008851886851"
"63","0.014367260301679884","0.014367260301679884","0.014367260301679884","0.010075472351504607","0.010075472351504607","0.010075472351504607","0.007565309439924685","0.007565309439924685","0.007565309439924685"
"64","0.01434010046221676","0.01434010046221676","0.01434010046221676","0.009985804446640257","0.009985804446640257","0.009985804446640257","0.007466731653975434","0.007466731653975434","0.007466731653975434"
"65","0.014309677688064295","0.014309677688064295","0.014309677688064295","0.009925403096777387","0.009925403096777387","0.009925403096777387","0.007447007527035048","0.007447007527035048","0.007447007527035048"
